track_name,isrc,language,publishing_company,arranger,producer,interpreter,date,duration,apple_itunes,k,l,m,n,Juke,microsoft,musicload,napster,qobuz,spotify,tidal,vimeo,youtube,amazon_books,apple_books,google_play_books,music_notes,notafina,note_download,sheet_music_plus,music_image
"Jenny, Jenny",,,,,,,2017-05-06,,,http://goodmusic.online/medien_title/jenny-jenny/,http://goodmusic.online/medien_title/jenny-jenny/,http://goodmusic.online/medien_title/jenny-jenny/,http://goodmusic.online/medien_title/jenny-jenny/,,,,,,,,,,,,,,,,,
Whole Lotta Shakin' Goin' On,,,,,,,2017-05-07,,,http://goodmusic.online/medien_title/whole-lotta-shakin-goin-on/,http://goodmusic.online/medien_title/whole-lotta-shakin-goin-on/,http://goodmusic.online/medien_title/whole-lotta-shakin-goin-on/,http://goodmusic.online/medien_title/whole-lotta-shakin-goin-on/,,,,,,,,,,,,,,,,,
Love Me Tender,,,,,,,2017-05-08,,,http://goodmusic.online/medien_title/love-me-tender/,http://goodmusic.online/medien_title/love-me-tender/,http://goodmusic.online/medien_title/love-me-tender/,http://goodmusic.online/medien_title/love-me-tender/,,,,,,,,,,,,,,,,,
Don't Be Cruel,,,,,,,2017-05-09,,,http://goodmusic.online/medien_title/dont-be-cruel/,http://goodmusic.online/medien_title/dont-be-cruel/,http://goodmusic.online/medien_title/dont-be-cruel/,http://goodmusic.online/medien_title/dont-be-cruel/,,,,,,,,,,,,,,,,,
Every Time (The Good Book Song),,,,,,,2017-05-10,,,http://goodmusic.online/medien_title/every-time-the-good-book-song/,http://goodmusic.online/medien_title/every-time-the-good-book-song/,http://goodmusic.online/medien_title/every-time-the-good-book-song/,http://goodmusic.online/medien_title/every-time-the-good-book-song/,,,,,,,,,,,,,,,,,
Piccadilly-Rock,,,,,,,2017-05-11,,,http://goodmusic.online/medien_title/piccadilly-rock/,http://goodmusic.online/medien_title/piccadilly-rock/,http://goodmusic.online/medien_title/piccadilly-rock/,http://goodmusic.online/medien_title/piccadilly-rock/,,,,,,,,,,,,,,,,,
Open Up the Door,,,,,,,2017-05-12,,,http://goodmusic.online/medien_title/open-up-the-door/,http://goodmusic.online/medien_title/open-up-the-door/,http://goodmusic.online/medien_title/open-up-the-door/,http://goodmusic.online/medien_title/open-up-the-door/,,,,,,,,,,,,,,,,,
I've Been Around,,,,,,,2017-05-13,,,http://goodmusic.online/medien_title/ive-been-around/,http://goodmusic.online/medien_title/ive-been-around/,http://goodmusic.online/medien_title/ive-been-around/,http://goodmusic.online/medien_title/ive-been-around/,,,,,,,,,,,,,,,,,
Devil in Disguise,,,,,,,2017-05-14,,,http://goodmusic.online/medien_title/devil-in-disguise/,http://goodmusic.online/medien_title/devil-in-disguise/,http://goodmusic.online/medien_title/devil-in-disguise/,http://goodmusic.online/medien_title/devil-in-disguise/,,,,,,,,,,,,,,,,,
Keep a Knockin',,,,,,,2017-05-15,,,http://goodmusic.online/medien_title/keep-a-knockin/,http://goodmusic.online/medien_title/keep-a-knockin/,http://goodmusic.online/medien_title/keep-a-knockin/,http://goodmusic.online/medien_title/keep-a-knockin/,,,,,,,,,,,,,,,,,
"Wow, Wow, Wow",,,,,,,2017-05-16,,,http://goodmusic.online/medien_title/wow-wow-wow/,http://goodmusic.online/medien_title/wow-wow-wow/,http://goodmusic.online/medien_title/wow-wow-wow/,http://goodmusic.online/medien_title/wow-wow-wow/,,,,,,,,,,,,,,,,,
Rock Around the Clock,,,,,,,2017-05-17,,,http://goodmusic.online/medien_title/rock-around-the-clock/,http://goodmusic.online/medien_title/rock-around-the-clock/,http://goodmusic.online/medien_title/rock-around-the-clock/,http://goodmusic.online/medien_title/rock-around-the-clock/,,,,,,,,,,,,,,,,,
I Love You zum fressen,,,,,,,2017-05-18,,,http://goodmusic.online/medien_title/i-love-you-zum-fressen/,http://goodmusic.online/medien_title/i-love-you-zum-fressen/,http://goodmusic.online/medien_title/i-love-you-zum-fressen/,http://goodmusic.online/medien_title/i-love-you-zum-fressen/,,,,,,,,,,,,,,,,,
"Jenny, Jenny",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
